,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-06-18,2.76E-05,4.24E-05,4.27E-05,3.43E-05,3.43E-05,0.010176287,2.03E-05,211.31,213.34,211.18,212.75
2015-06-19,5.47E-05,5.04E-05,5.20E-05,6.43E-05,5.04E-05,0.005213282,1.18E-05,211.43,211.55,210.45,210.46
2015-06-22,5.90E-05,6.22E-05,7.48E-05,4.84E-05,5.53E-05,0.004455085,1.25E-05,211.9,212.59,211.645,211.91
2015-06-23,1.22E-05,1.52E-05,1.19E-05,8.81E-06,1.09E-05,0.004032977,9.19E-06,212.15,212.43,211.575,212.03
2015-06-24,1.93E-05,1.87E-05,1.68E-05,1.55E-05,1.48E-05,0.00795007,1.55E-05,211.72,212.16,210.48,210.49
2015-06-25,2.79E-05,2.97E-05,2.03E-05,1.75E-05,1.83E-05,0.007030574,2.25E-05,211.11,211.25,209.77,209.81
2015-06-26,2.73E-05,2.94E-05,2.59E-05,2.37E-05,2.17E-05,0.00671863,2.64E-05,210.29,210.57,209.16,209.83
2015-06-29,0.000127288,0.000133092,9.43E-05,0.000103176,7.40E-05,0.016806307,3.83E-05,208.04,208.81,205.33,205.43
2015-06-30,0.000133625,0.00012194,0.000110731,0.000107163,7.65E-05,0.009623034,5.58E-05,207.26,207.27,205.285,205.9
2015-07-01,0.000103163,9.05E-05,0.000100017,0.000116169,9.17E-05,0.007091373,2.43E-05,207.75,208.03,206.56,207.52
2015-07-02,3.18E-05,3.00E-05,2.47E-05,2.39E-05,2.48E-05,0.006986465,1.66E-05,208.06,208.27,206.82,207.3
2015-07-06,0.000101656,8.49E-05,0.000101663,7.02E-05,5.92E-05,0.010213308,3.52E-05,205.77,207.65,205.54,206.71
2015-07-07,7.59E-05,8.19E-05,9.14E-05,7.27E-05,0.000104616,0.019598959,0.000100136,206.96,208.16,204.12,207.99
2015-07-08,0.000141259,0.000170718,0.000108324,0.000107815,0.000128393,0.012189784,6.43E-05,206.42,206.755,204.25,204.48
2015-07-09,0.000199603,0.00020687,0.000230829,0.000204119,0.000176738,0.011935516,3.64E-05,207.04,207.34,204.88,204.88
2015-07-10,0.000150945,0.000167351,0.000156301,0.00015186,0.000146811,0.007141853,2.23E-05,207.29,207.97,206.49,207.46
2015-07-13,7.12E-05,7.14E-05,7.34E-05,7.32E-05,7.68E-05,0.004584097,9.44E-06,208.99,209.9,208.94,209.77
2015-07-14,9.64E-06,7.37E-06,7.03E-06,6.56E-06,5.45E-06,0.006607901,6.24E-06,209.72,211.05,209.66,210.68
2015-07-15,1.71E-05,1.89E-05,1.61E-05,1.18E-05,1.36E-05,0.005791339,1.50E-05,210.74,211.27,210.05,210.64
2015-07-16,4.33E-05,3.82E-05,3.65E-05,2.95E-05,3.94E-05,0.003349929,6.15E-06,211.87,212.3,211.59,212.26
2015-07-17,8.71E-06,7.91E-06,3.90E-06,3.09E-06,5.29E-06,0.003487773,4.76E-06,212.3,212.54,211.8,212.45
2015-07-20,1.13E-05,1.07E-05,8.68E-06,6.20E-06,8.01E-06,0.004513513,8.82E-06,212.75,213.175,212.215,212.62
2015-07-21,1.33E-05,1.34E-05,1.15E-05,1.30E-05,1.13E-05,0.006365994,1.20E-05,212.44,212.74,211.39,211.75
2015-07-22,2.80E-05,1.98E-05,1.99E-05,2.00E-05,1.81E-05,0.004140401,1.37E-05,210.93,211.77,210.895,211.34
